participant,theta,p_standard,p_hard
1,1.3870874877918684,0.800126870073654,0.7082887668205317
2,0.9703501238207407,0.7251892793931455,0.6154666226554295
3,0.37539880327340824,0.5927628726502274,0.4688899402350235
4,1.1986517945907362,0.7682848584289524,0.6678887899236547
5,1.2766524965014596,0.7818794185264643,0.6849582022514784
6,0.8463444371200964,0.6997997429431297,0.5857308346539242
7,1.134440592863798,0.7566574634811741,0.653495670141886
8,0.670723827055095,0.6616652172381842,0.542577590876106
9,1.1740560606707915,0.7638773850740131,0.6624107832447529
10,0.9224709853023864,0.7155453183422276,0.6040743834879685
11,0.3349394242741362,0.5829607272551061,0.4588282905632955
12,0.5601296541117559,0.6364825392104814,0.5150278859296604
13,0.8384538353436434,0.6981394759636186,0.5838148922327474
14,0.9136221264953805,0.7137407896546092,0.6019560779905752
15,1.20660118009219,0.7696970146084556,0.6696497103657918
16,0.6493797302701592,0.6568706726979354,0.5372756433299364
17,0.8986805043111274,0.7106782703980911,0.598370595852788
18,1.2321285190483708,0.774190897744406,0.6752721875319004
19,1.0671521422812003,0.7440549548847801,0.6381057875018743
20,0.8240046734962905,0.6950857592797397,0.5802999105285906
21,0.8527443845080979,0.7011425226855406,0.5872829264328373
22,0.21061486983210453,0.5524599397818327,0.4281544040429495
23,0.5560575276761393,0.6355398384435533,0.5140107131182533
24,0.48872121120727513,0.6198051361478347,0.49718033269283163
25,1.362776040266865,0.7962105065728918,0.703240322225505
26,1.2069301117888318,0.7697553170263005,0.6697224722378231
27,-0.09248237762527284,0.4768958706959652,0.35606548453251224
28,0.5050334661610858,0.623641483266553,0.5012583638834699
29,0.5900909524957926,0.6433860141481887,0.5225075168867143
30,0.5343573652325418,0.6304988235522677,0.5085884964825552
31,0.6770350711492731,0.6630766350758112,0.5441435345584988
32,0.6068237552595842,0.6472159177044637,0.5266805719387894
33,0.30823858674145427,0.57645526201382,0.4522060154541931
34,1.6395816134230106,0.8374779994483572,0.7576028144432693
35,0.6086945801159612,0.6476429606787415,0.5271469229869682
36,0.4907915164559512,0.6202928756586432,0.4976978953814359
37,0.6579377237993688,0.6587969746705511,0.5394025591289887
38,0.5744013429434746,0.6397781405405931,0.5185917602102578
39,1.465357431238389,0.812350712650822,0.7241931688859139
40,0.5461612632067426,0.6332445170046591,0.5115382670030088
